Preparing Data ...,
Loading Trained Model ...,
Checking Model Outputs,
Example 0 ========,
Source Text (Input)        , <s> la porte s' ouvre </s>
Target Text (Ground Truth) , <s> and the door opened . </s>
Model Output ( beam )     ," <s> the door , </s> "
BLEU score * 100 , 93.59501559223197 ---
Model Output ( greedy )     ," <s> the door , </s> "
BLEU score * 100 , 8.43334186160618 ---
Example 1 ========,
Source Text (Input)        ," <s> Nous allons d' abord faire la pâte , dit la sorcière . </s>"
Target Text (Ground Truth) ," <s> First we will do the baking , said the old woman ;   already , </s>"
Model Output ( beam )     , <s> Then said the mouse . </s> 
BLEU score * 100 , 80.84784974492023 ---
Model Output ( greedy )     ," <s> and we will go to the door and said , </s> "
BLEU score * 100 , 8.764686831321951 ---
Example 2 ========,
Source Text (Input)        , <s> Mais il n' y avait personne dedans . </s>
Target Text (Ground Truth) , <s> but there was no one in it . </s>
Model Output ( beam )     , <s> and thought to shudder . </s> 
BLEU score * 100 , 90.11694973403493 ---
Model Output ( greedy )     , <s> and said to the mouse . </s> 
BLEU score * 100 , 7.793031063789554 ---
Example 3 ========,
Source Text (Input)        ," <s> quand tu seras reine , tu n' auras plus besoin d' aller à pied . </s>"
Target Text (Ground Truth) , <s> when you are queen you will never have to go on foot . </s>
Model Output ( beam )     ," <s> The King 's daughter was a frog , </s> "
BLEU score * 100 , 82.47105859016642 ---
Model Output ( greedy )     ," <s> but the King was not be a little hare was a little hare , </s> "
BLEU score * 100 , 8.15646015373639 ---
Example 4 ========,
Source Text (Input)        ," <s> Dans tous les coins , il y avait des caisses pleines de perles et de diamants . </s>"
Target Text (Ground Truth) , <s> and in every corner there stood chests of pearls and precious stones . </s>
Model Output ( beam )     , <s> and when they had walked a part of the way . </s> 
BLEU score * 100 , 84.67221906778539 ---
Model Output ( greedy )     ," <s> and when they had been a great in the fire , and had a great great great fire and fell </s> "
BLEU score * 100 , 8.603798529678656 ---
,
"DEFINITION BLEU : Plus le score se rapproche de 1, plus les textes sont similaires (100 ici)",
