Checking Model Outputs,,
Example 0 ========,,
Source Text (Input)        , <s> Il était une fois un roi et une reine . </s>,
Target Text (Ground Truth) ," <s> In times past there lived a king and queen , </s>",
Model Output ( beam )     , <s> He was a king and the king . </s> ,
BLEU score * 100 , 88.16431459095872 ---,
Model Output ( greedy )     , <s> He was a king and a the king . </s> ,
BLEU score * 100 , 88.16431459095872 ---,
Example 1 ========,,
Source Text (Input)        ," <s> La pauvre Blanche - Neige , ne pensant pas à mal , </s>",
Target Text (Ground Truth) ," <s> Poor Snow - white , thinking no harm , </s>",
Model Output ( beam )     ," <s> The poor stood up to himself , but he did not answer , </s> ",
BLEU score * 100 , 84.05160051064999 ---,
Model Output ( greedy )     ," <s> The poor children stood up , but he would not to himself , </s> ",
BLEU score * 100 , 84.05160051064999 ---,
Example 2 ========,,
Source Text (Input)        ," <s> C' est très bien que tu parles , répondit l' ours , une bête furieuse aux yeux fixes est dans la maison de Peau - Rouge , et nous ne pouvons pas la chasser . </s>",
Target Text (Ground Truth) ," <s> It is all very well for thee to talk , replied the bear , a furious beast with staring eyes is in Redskin 's house , and we ca n't drive him out . </s>",
Model Output ( beam )     ," <s> It 's so well that I 'll see the mother of the mother - in the place , and could not let it 's son 's eyes . </s> ",
BLEU score * 100 , 59.91282782531451 ---,
Model Output ( greedy )     ," <s> It 's so well that I 'll give the other , he 's of them in the forest , we will not let the princess of the place and then the tower . </s> ",
BLEU score * 100 , 59.860611104970765 ---,
Example 3 ========,,
Source Text (Input)        ," <s> Un pauvre paysan qui avait l' habitude de s' asseoir dans le coin de la cheminée toute la soirée et d' attiser le feu , tandis que sa femme était assise à son rouet . </s>",
Target Text (Ground Truth) ," <s> There was once a poor countryman who used to sit in the chimney - corner all evening and poke the fire , while his wife sat at her spinning - wheel . </s>",
Model Output ( beam )     ," <s> So the peasant had gone down at the way to the forest , and when the fire in the forest . </s> ",
BLEU score * 100 , 62.47190059199767 ---,
Model Output ( greedy )     ," <s> A peasant had been who had not to the forest , sat in the fire and fell into the fire of the way , and fell into the fire . </s> ",
BLEU score * 100 , 62.74411575562119 ---,
Example 4 ========,,
Source Text (Input)        , <s> Il dit ," Sors du sac , Cudgel ! </s>
Target Text (Ground Truth) : <s> he said , Out of the sack , Cudgel ! </s>
Model Output ( beam )     : <s> He says : </s> 
BLEU score * 100 : 86.29404387778685 ---
Model Output ( greedy )     : <s> He said to the other , Here is up ! </s> 
BLEU score * 100 : 88.47906608836664 ---
"
