Example 0 ========,
Source Text (Input)        , <s> und nun die wettervorhersage für morgen dienstag den achtzehnten mai </s>
Target Text (Ground Truth) , <s> JETZT WETTER MORGEN DIENSTAG ACHTZEHN MAI WIE-AUSSEHEN ZEIGEN-BILDSCHIRM </s>
Model Output               , <s> JETZT WETTER WIE-AUSSEHEN MORGEN DIENSTAG MORGEN DIENSTAG </s>
Example 1 ========,
Source Text (Input)        , <s> am tag zwanzig grad an der nordsee und dreißig grad in der lausitz </s>
Target Text (Ground Truth) , <s> TAG ZWANZIG NORD DREISSIG REGION </s>
Model Output               , <s> TAG TAG NORD REGION FUENF ZWANZIG GRAD </s>
Example 2 ========,
Source Text (Input)        , <s> heute nacht schneit es im norden gebietsweise sonst fällt örtlich etwas regen der richtung osten gefrieren kann </s>
Target Text (Ground Truth) , <s> HEUTE NACHT NORD SCHNEE REGION KOENNEN REGEN IN OST KOENNEN GEFRIEREN GLATT </s>
Model Output               , <s> HEUTE NACHT NORD REGEN KOENNEN REGEN </s>
Example 3 ========,
Source Text (Input)        , <s> am nachmittag ziehen aber auch in den westen zum teil wieder kräftige regenschauer </s>
Target Text (Ground Truth) , <s> IX NACH MITTAG AUCH IX KOMMEN HAUPTSAECHLICH REGEN </s>
Model Output               , <s> TAG REGEN </s>
Example 4 ========,
Source Text (Input)        , <s> auch in den folgenden tagen unbeständig dabei wird es kühler im höheren bergland fällt schnee </s>
Target Text (Ground Truth) , <s> IM-VERLAUF BLEIBEN WECHSELHAFT MEHR KUEHL BERG SCHON SCHNEE </s>
Model Output               , <s> AUCH SCHNEE SCHNEIEN SCHNEE SCHNEIEN SCHNEE SCHNEIEN </s>
